"team","as_of_date","feature_source_date","squad_size","num_players_with_value","squad_value","log_squad_value","top11_value","log_top11_value","top15_value","log_top15_value","top23_value","log_top23_value","median_player_value","squad_value_concentration","top5_value_share","top11_to_top23_ratio","value_drop_11_to_23","avg_age","value_weighted_avg_age","top11_avg_age","top11_u24_value_share","top11_over30_value_share","goalkeeper_value","log_goalkeeper_value","defense_value","log_defense_value","midfield_value","log_midfield_value","attack_value","log_attack_value","top1_goalkeeper_value","log_top1_goalkeeper_value","top4_defense_value","log_top4_defense_value","top4_midfield_value","log_top4_midfield_value","top3_attack_value","log_top3_attack_value","defense_value_share","midfield_value_share","attack_value_share","squad_value_momentum_6m","squad_value_momentum_12m","top11_value_momentum_6m","top11_value_momentum_12m","total_caps","total_goals","missing_value_share"
"Bolivia",2000-01-01,1999-12-31,62,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.0742310834382104,NA,8.69566299545766,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Bonaire",2000-01-01,1999-12-31,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-0.731006160164271,NA,-0.731006160164271,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Bosnia-Herzegovina",2000-01-01,1999-12-31,244,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,3.41211386766306,NA,16.1926451372037,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Botswana",2000-01-01,1999-12-31,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-6.08624229979466,NA,-6.08624229979466,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Brazil",2000-01-01,1999-12-31,2697,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,3.38560577740319,NA,19.7431398170618,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Brunei Darussalam",2000-01-01,1999-12-31,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1.64818617385353,NA,1.64818617385353,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Bulgaria",2000-01-01,1999-12-31,100,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,5.96558521560575,NA,17.51876050028,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Burkina Faso",2000-01-01,1999-12-31,70,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2.43093771389459,NA,12.360400721797,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Burundi",2000-01-01,1999-12-31,19,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,3.86397204510249,NA,7.27098500404455,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Cambodia",2000-01-01,1999-12-31,24,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-1.09719370294319,NA,0.746188787256549,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Cameroon",2000-01-01,1999-12-31,246,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4.63375680984736,NA,17.588949038641,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Canada",2000-01-01,1999-12-31,133,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.84937188968314,NA,14.8304399228424,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Cape Verde",2000-01-01,1999-12-31,114,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,5.28563709067329,NA,14.3936282745318,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Central African Republic",2000-01-01,1999-12-31,24,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,5.30618297969427,NA,10.302283616452,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Chad",2000-01-01,1999-12-31,5,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,5.78562628336756,NA,5.78562628336756,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Chile",2000-01-01,1999-12-31,144,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4.69982508175527,NA,16.9323626407815,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"China",2000-01-01,1999-12-31,58,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2.49951615567986,NA,8.24590877978968,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Chinese Taipei",2000-01-01,1999-12-31,38,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.784106055693648,NA,7.14927509178023,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Colombia",2000-01-01,1999-12-31,956,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.721366405196188,NA,14.9785327608736,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Comoros",2000-01-01,1999-12-31,66,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1.25534606848775,NA,10.2502644514965,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Congo",2000-01-01,1999-12-31,58,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4.59184781325969,NA,13.2711094518076,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Costa Rica",2000-01-01,1999-12-31,83,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2.8220314522979,NA,12.5219339182378,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Cote d'Ivoire",2000-01-01,1999-12-31,327,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2.73960903993118,NA,17.7601891605998,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Croatia",2000-01-01,1999-12-31,584,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2.10632143493386,NA,18.7824030863045,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Cuba",2000-01-01,1999-12-31,5,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.727720739219713,NA,0.727720739219713,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Curacao",2000-01-01,1999-12-31,77,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,3.21946363014125,NA,12.096820359654,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Cyprus",2000-01-01,1999-12-31,61,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,3.01132168624679,NA,12.7344906975297,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Czech Republic",2000-01-01,1999-12-31,574,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1.96863873009513,NA,19.3732810652729,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Denmark",2000-01-01,1999-12-31,1200,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,3.31874830606966,NA,20.0940825088669,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Dominican Republic",2000-01-01,1999-12-31,48,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-0.289584759297284,NA,6.58751788936594,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"DR Congo",2000-01-01,1999-12-31,152,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,5.25213444288339,NA,15.9820795221206,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Ecuador",2000-01-01,1999-12-31,106,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1.26654010563971,NA,11.3715387965901,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Egypt",2000-01-01,1999-12-31,100,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4.75728952772074,NA,16.1441105096136,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"El Salvador",2000-01-01,1999-12-31,53,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1.678354190074,NA,9.07074855329475,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"England",2000-01-01,1999-12-31,1682,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,3.58486727039369,NA,20.7434509364694,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Equatorial Guinea",2000-01-01,1999-12-31,23,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,5.00074398119216,NA,10.4598344844751,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Eritrea",2000-01-01,1999-12-31,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,8.05407255304586,NA,8.05407255304586,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Estonia",2000-01-01,1999-12-31,52,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,3.02564102564102,NA,13.5774998444403,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Ethiopia",2000-01-01,1999-12-31,43,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1.51963452875539,NA,5.82838653475204,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Faroe Islands",2000-01-01,1999-12-31,45,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2.35260476081831,NA,9.33258664675502,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Fiji",2000-01-01,1999-12-31,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4.84873374401095,NA,4.84873374401095,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Finland",2000-01-01,1999-12-31,122,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,3.44233121262104,NA,17.6471905917491,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"France",2000-01-01,1999-12-31,1888,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4.21056350468115,NA,19.8511604753905,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"French Guiana",2000-01-01,1999-12-31,8,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,11.0626283367556,NA,11.0626283367556,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Gabon",2000-01-01,1999-12-31,36,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,5.09316297817325,NA,9.91574886441416,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Georgia",2000-01-01,1999-12-31,137,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,3.97491968804489,NA,14.9066019538299,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Germany",2000-01-01,1999-12-31,1452,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4.02449292442083,NA,20.333196440794,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Ghana",2000-01-01,1999-12-31,380,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1.97594808919325,NA,15.4250513347023,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Gibraltar",2000-01-01,1999-12-31,30,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-1.74118183892311,NA,2.08723788189907,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Greece",2000-01-01,1999-12-31,1298,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4.56506960463176,NA,19.0556903739655,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Grenada",2000-01-01,1999-12-31,9,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,5.6621796334322,NA,5.6621796334322,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Guadeloupe",2000-01-01,1999-12-31,41,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,7.62417989682977,NA,15.6834048907971,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Guatemala",2000-01-01,1999-12-31,27,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1.3512814662712,NA,5.1347147035032,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Guinea",2000-01-01,1999-12-31,128,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2.83812457221081,NA,14.1342791363325,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Guinea-Bissau",2000-01-01,1999-12-31,85,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,3.17709868341587,NA,9.29027440731753,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Guyana",2000-01-01,1999-12-31,10,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1.75715263518138,NA,1.75715263518138,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Haiti",2000-01-01,1999-12-31,40,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,3.51266255989049,NA,11.6936096073673,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Honduras",2000-01-01,1999-12-31,66,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4.01352332358493,NA,12.0816377325618,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Hongkong",2000-01-01,1999-12-31,36,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,3.40147539736862,NA,9.44931864849729,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Hungary",2000-01-01,1999-12-31,135,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4.43442593860116,NA,16.9662124323315,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Iceland",2000-01-01,1999-12-31,126,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4.06086285757744,NA,17.1625910024267,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"India",2000-01-01,1999-12-31,21,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1.37531371206936,NA,5.07249082197747,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Indonesia",2000-01-01,1999-12-31,38,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.470117799632551,NA,5.09215356853961,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Iran",2000-01-01,1999-12-31,56,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4.64984844040286,NA,10.9596167008898,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Iraq",2000-01-01,1999-12-31,66,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1.02943189596167,NA,6.8055503702321,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Ireland",2000-01-01,1999-12-31,276,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,5.102996756242,NA,19.494493186485,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Israel",2000-01-01,1999-12-31,144,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4.23195680279869,NA,15.2978657208637,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Italy",2000-01-01,1999-12-31,1993,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4.17113834079786,NA,21.5334453363201,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Jamaica",2000-01-01,1999-12-31,111,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2.24819480671637,NA,13.5747619936532,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Japan",2000-01-01,1999-12-31,923,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.525898969742593,NA,13.5859622923278,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Jordan",2000-01-01,1999-12-31,45,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1.47576241539281,NA,5.4669902308506,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Kazakhstan",2000-01-01,1999-12-31,36,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,3.9192334017796,NA,11.4942442909589,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Kenya",2000-01-01,1999-12-31,23,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2.79665506056007,NA,7.51241366436438,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Korea, North",2000-01-01,1999-12-31,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,5.10061601642711,NA,5.10061601642711,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Korea, South",2000-01-01,1999-12-31,610,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-0.232079981149226,NA,12.7140812643893,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
"Kosovo",2000-01-01,1999-12-31,129,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1.0368601732911,NA,10.1536929873686,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1
