"team","as_of_date","feature_source_date","squad_size","num_players_with_value","squad_value","log_squad_value","top11_value","log_top11_value","top15_value","log_top15_value","median_player_value","squad_value_concentration","avg_age","total_caps","total_goals","missing_value_share"
"Ireland","2000-01-01","1999-12-31",276,0,0,0,0,0,0,0,NA,NA,5.102996756242,NA,NA,1
"Israel","2000-01-01","1999-12-31",144,0,0,0,0,0,0,0,NA,NA,4.23195680279869,NA,NA,1
"Italy","2000-01-01","1999-12-31",1993,0,0,0,0,0,0,0,NA,NA,4.17113834079786,NA,NA,1
"Jamaica","2000-01-01","1999-12-31",111,0,0,0,0,0,0,0,NA,NA,2.24819480671637,NA,NA,1
"Japan","2000-01-01","1999-12-31",923,0,0,0,0,0,0,0,NA,NA,0.525898969742593,NA,NA,1
"Jordan","2000-01-01","1999-12-31",45,0,0,0,0,0,0,0,NA,NA,1.47576241539281,NA,NA,1
"Kazakhstan","2000-01-01","1999-12-31",36,0,0,0,0,0,0,0,NA,NA,3.9192334017796,NA,NA,1
"Kenya","2000-01-01","1999-12-31",23,0,0,0,0,0,0,0,NA,NA,2.79665506056007,NA,NA,1
"Korea, North","2000-01-01","1999-12-31",2,0,0,0,0,0,0,0,NA,NA,5.10061601642711,NA,NA,1
"Korea, South","2000-01-01","1999-12-31",610,0,0,0,0,0,0,0,NA,NA,-0.232079981149226,NA,NA,1
"Kosovo","2000-01-01","1999-12-31",129,0,0,0,0,0,0,0,NA,NA,1.0368601732911,NA,NA,1
"Kyrgyzstan","2000-01-01","1999-12-31",40,0,0,0,0,0,0,0,NA,NA,0.117180013689254,NA,NA,1
"Laos","2000-01-01","1999-12-31",29,0,0,0,0,0,0,0,NA,NA,-2.9807642380042,NA,NA,1
"Latvia","2000-01-01","1999-12-31",50,0,0,0,0,0,0,0,NA,NA,2.90069815195072,NA,NA,1
"Lebanon","2000-01-01","1999-12-31",29,0,0,0,0,0,0,0,NA,NA,2.12532747999717,NA,NA,1
"Liberia","2000-01-01","1999-12-31",22,0,0,0,0,0,0,0,NA,NA,1.69920975670462,NA,NA,1
"Libya","2000-01-01","1999-12-31",35,0,0,0,0,0,0,0,NA,NA,2.59102376063362,NA,NA,1
"Liechtenstein","2000-01-01","1999-12-31",4,0,0,0,0,0,0,0,NA,NA,5.38945927446954,NA,NA,1
"Lithuania","2000-01-01","1999-12-31",72,0,0,0,0,0,0,0,NA,NA,3.64799604532664,NA,NA,1
"Luxembourg","2000-01-01","1999-12-31",43,0,0,0,0,0,0,0,NA,NA,1.00772010251023,NA,NA,1
"Macao","2000-01-01","1999-12-31",1,0,0,0,0,0,0,0,NA,NA,5.05133470225873,NA,NA,1
"Madagascar","2000-01-01","1999-12-31",23,0,0,0,0,0,0,0,NA,NA,4.91408505192989,NA,NA,1
"Malawi","2000-01-01","1999-12-31",3,0,0,0,0,0,0,0,NA,NA,2.50330823636778,NA,NA,1
"Malaysia","2000-01-01","1999-12-31",29,0,0,0,0,0,0,0,NA,NA,2.41572848072883,NA,NA,1
"Mali","2000-01-01","1999-12-31",180,0,0,0,0,0,0,0,NA,NA,3.5460947600578,NA,NA,1
"Malta","2000-01-01","1999-12-31",42,0,0,0,0,0,0,0,NA,NA,1.5688536879502,NA,NA,1
"Martinique","2000-01-01","1999-12-31",37,0,0,0,0,0,0,0,NA,NA,8.52677729063766,NA,NA,1
"Mauritania","2000-01-01","1999-12-31",29,0,0,0,0,0,0,0,NA,NA,1.4204725152824,NA,NA,1
"Mauritius","2000-01-01","1999-12-31",2,0,0,0,0,0,0,0,NA,NA,3.80287474332649,NA,NA,1
"Mexico","2000-01-01","1999-12-31",536,0,0,0,0,0,0,0,NA,NA,-0.718992307456557,NA,NA,1
"Moldova","2000-01-01","1999-12-31",63,0,0,0,0,0,0,0,NA,NA,2.8311984615886,NA,NA,1
"Monaco","2000-01-01","1999-12-31",1,0,0,0,0,0,0,0,NA,NA,5.88090349075975,NA,NA,1
"Mongolia","2000-01-01","1999-12-31",1,0,0,0,0,0,0,0,NA,NA,-5.05133470225873,NA,NA,1
"Montenegro","2000-01-01","1999-12-31",118,0,0,0,0,0,0,0,NA,NA,4.30051392707572,NA,NA,1
"Montserrat","2000-01-01","1999-12-31",6,0,0,0,0,0,0,0,NA,NA,6.279717088752,NA,NA,1
"Morocco","2000-01-01","1999-12-31",366,0,0,0,0,0,0,0,NA,NA,2.55088400414418,NA,NA,1
"Mozambique","2000-01-01","1999-12-31",18,0,0,0,0,0,0,0,NA,NA,6.88250057038558,NA,NA,1
"Myanmar","2000-01-01","1999-12-31",33,0,0,0,0,0,0,0,NA,NA,0.30365254184556,NA,NA,1
"Netherlands","2000-01-01","1999-12-31",1555,0,0,0,0,0,0,0,NA,NA,3.30991889513451,NA,NA,1
"Neukaledonien","2000-01-01","1999-12-31",2,0,0,0,0,0,0,0,NA,NA,11.7713894592745,NA,NA,1
"New Caledonia","2000-01-01","1999-12-31",2,0,0,0,0,0,0,0,NA,NA,3.79466119096509,NA,NA,1
"New Zealand","2000-01-01","1999-12-31",105,0,0,0,0,0,0,0,NA,NA,-0.735829992503504,NA,NA,1
"Nicaragua","2000-01-01","1999-12-31",6,0,0,0,0,0,0,0,NA,NA,3.06411133926534,NA,NA,1
"Niger","2000-01-01","1999-12-31",13,0,0,0,0,0,0,0,NA,NA,3.15800558100353,NA,NA,1
"Nigeria","2000-01-01","1999-12-31",513,0,0,0,0,0,0,0,NA,NA,1.79552310695363,NA,NA,1
"North Macedonia","2000-01-01","1999-12-31",107,0,0,0,0,0,0,0,NA,NA,4.35955401178299,NA,NA,1
"Northern Ireland","2000-01-01","1999-12-31",127,0,0,0,0,0,0,0,NA,NA,4.43516736999251,NA,NA,1
"Norway","2000-01-01","1999-12-31",565,0,0,0,0,0,0,0,NA,NA,0.565930717837825,NA,NA,1
"Oman","2000-01-01","1999-12-31",50,0,0,0,0,0,0,0,NA,NA,2.19926078028747,NA,NA,1
"Pakistan","2000-01-01","1999-12-31",4,0,0,0,0,0,0,0,NA,NA,3.4839151266256,NA,NA,1
"Palestine","2000-01-01","1999-12-31",10,0,0,0,0,0,0,0,NA,NA,3.32621492128679,NA,NA,1
"Panama","2000-01-01","1999-12-31",61,0,0,0,0,0,0,0,NA,NA,0.874002760292188,NA,NA,1
"Papua New Guinea","2000-01-01","1999-12-31",1,0,0,0,0,0,0,0,NA,NA,4.01368925393566,NA,NA,1
"Paraguay","2000-01-01","1999-12-31",147,0,0,0,0,0,0,0,NA,NA,3.41000246779067,NA,NA,1
"Peru","2000-01-01","1999-12-31",102,0,0,0,0,0,0,0,NA,NA,2.88126585336393,NA,NA,1
"Philippines","2000-01-01","1999-12-31",45,0,0,0,0,0,0,0,NA,NA,1.23787360255533,NA,NA,1
"Poland","2000-01-01","1999-12-31",660,0,0,0,0,0,0,0,NA,NA,0.317607284342397,NA,NA,1
"Portugal","2000-01-01","1999-12-31",1261,0,0,0,0,0,0,0,NA,NA,4.59781330180788,NA,NA,1
"Puerto Rico","2000-01-01","1999-12-31",33,0,0,0,0,0,0,0,NA,NA,-2.99363242279053,NA,NA,1
"Qatar","2000-01-01","1999-12-31",54,0,0,0,0,0,0,0,NA,NA,2.80021294395011,NA,NA,1
"Réunion","2000-01-01","1999-12-31",1,0,0,0,0,0,0,0,NA,NA,16.1259411362081,NA,NA,1
"Romania","2000-01-01","1999-12-31",558,0,0,0,0,0,0,0,NA,NA,0.737880226387876,NA,NA,1
"Russia","2000-01-01","1999-12-31",1598,0,0,0,0,0,0,0,NA,NA,3.69838752924387,NA,NA,1
"Rwanda","2000-01-01","1999-12-31",10,0,0,0,0,0,0,0,NA,NA,1.99753593429158,NA,NA,1
"Saint-Martin","2000-01-01","1999-12-31",3,0,0,0,0,0,0,0,NA,NA,11.9662331736254,NA,NA,1
"San Marino","2000-01-01","1999-12-31",16,0,0,0,0,0,0,0,NA,NA,-0.317248459958932,NA,NA,1
"Sao Tome and Principe","2000-01-01","1999-12-31",8,0,0,0,0,0,0,0,NA,NA,4.41238877481177,NA,NA,1
"Saudi Arabia","2000-01-01","1999-12-31",493,0,0,0,0,0,0,0,NA,NA,-0.313631081548248,NA,NA,1
"Scotland","2000-01-01","1999-12-31",1021,0,0,0,0,0,0,0,NA,NA,3.83907283125547,NA,NA,1
"Senegal","2000-01-01","1999-12-31",408,0,0,0,0,0,0,0,NA,NA,3.4949135027043,NA,NA,1
"Serbia","2000-01-01","1999-12-31",896,0,0,0,0,0,0,0,NA,NA,1.96186564975066,NA,NA,1
"Seychelles","2000-01-01","1999-12-31",1,0,0,0,0,0,0,0,NA,NA,11.9808350444901,NA,NA,1
"Sierra Leone","2000-01-01","1999-12-31",33,0,0,0,0,0,0,0,NA,NA,2.82073299732437,NA,NA,1
"Singapore","2000-01-01","1999-12-31",36,0,0,0,0,0,0,0,NA,NA,1.71374248992319,NA,NA,1
"Sint Maarten","2000-01-01","1999-12-31",1,0,0,0,0,0,0,0,NA,NA,0.618754277891855,NA,NA,1
"Slovakia","2000-01-01","1999-12-31",188,0,0,0,0,0,0,0,NA,NA,4.47861418148455,NA,NA,1
"Slovenia","2000-01-01","1999-12-31",176,0,0,0,0,0,0,0,NA,NA,4.47282371974364,NA,NA,1
"Somalia","2000-01-01","1999-12-31",5,0,0,0,0,0,0,0,NA,NA,0.298425735797399,NA,NA,1
"South Africa","2000-01-01","1999-12-31",126,0,0,0,0,0,0,0,NA,NA,3.03849287832861,NA,NA,1
"Southern Sudan","2000-01-01","1999-12-31",2,0,0,0,0,0,0,0,NA,NA,0.247775496235455,NA,NA,1
"Spain","2000-01-01","1999-12-31",2169,0,0,0,0,0,0,0,NA,NA,4.80788698030718,NA,NA,1
"Sri Lanka","2000-01-01","1999-12-31",1,0,0,0,0,0,0,0,NA,NA,9.26488706365503,NA,NA,1
"St. Kitts & Nevis","2000-01-01","1999-12-31",4,0,0,0,0,0,0,0,NA,NA,7.47707049965777,NA,NA,1
"St. Lucia","2000-01-01","1999-12-31",4,0,0,0,0,0,0,0,NA,NA,2.78507871321013,NA,NA,1
"St. Vincent & Grenadinen","2000-01-01","1999-12-31",1,0,0,0,0,0,0,0,NA,NA,-4.09034907597536,NA,NA,1
"Sudan","2000-01-01","1999-12-31",1,0,0,0,0,0,0,0,NA,NA,-6.19575633127995,NA,NA,1
"Suriname","2000-01-01","1999-12-31",62,0,0,0,0,0,0,0,NA,NA,3.43375063478395,NA,NA,1
"Sweden","2000-01-01","1999-12-31",764,0,0,0,0,0,0,0,NA,NA,0.60990284929995,NA,NA,1
"Switzerland","2000-01-01","1999-12-31",400,0,0,0,0,0,0,0,NA,NA,0.666519138366107,NA,NA,1
"Syria","2000-01-01","1999-12-31",22,0,0,0,0,0,0,0,NA,NA,2.11001182253749,NA,NA,1
"Tahiti","2000-01-01","1999-12-31",1,0,0,0,0,0,0,0,NA,NA,19.6386036960986,NA,NA,1
"Tajikistan","2000-01-01","1999-12-31",44,0,0,0,0,0,0,0,NA,NA,-0.227241615331965,NA,NA,1
"Tanzania","2000-01-01","1999-12-31",6,0,0,0,0,0,0,0,NA,NA,-0.684006388318503,NA,NA,1
"Thailand","2000-01-01","1999-12-31",60,0,0,0,0,0,0,0,NA,NA,1.81368925393566,NA,NA,1
"The Gambia","2000-01-01","1999-12-31",87,0,0,0,0,0,0,0,NA,NA,0.277372607330832,NA,NA,1
"Togo","2000-01-01","1999-12-31",45,0,0,0,0,0,0,0,NA,NA,4.74889345197353,NA,NA,1
"Trinidad and Tobago","2000-01-01","1999-12-31",21,0,0,0,0,0,0,0,NA,NA,2.27528437795378,NA,NA,1
"Tunisia","2000-01-01","1999-12-31",122,0,0,0,0,0,0,0,NA,NA,5.48492498962085,NA,NA,1
"Turkey","2000-01-01","1999-12-31",2180,0,0,0,0,0,0,0,NA,NA,2.65081833554778,NA,NA,1
"Turkmenistan","2000-01-01","1999-12-31",2,0,0,0,0,0,0,0,NA,NA,0.542094455852156,NA,NA,1
"Uganda","2000-01-01","1999-12-31",69,0,0,0,0,0,0,0,NA,NA,1.65203503655428,NA,NA,1
"Ukraine","2000-01-01","1999-12-31",1623,0,0,0,0,0,0,0,NA,NA,3.36420344597392,NA,NA,1
"United Arab Emirates","2000-01-01","1999-12-31",27,0,0,0,0,0,0,0,NA,NA,1.08287068725125,NA,NA,1
"United States","2000-01-01","1999-12-31",614,0,0,0,0,0,0,0,NA,NA,-0.467472415261515,NA,NA,1
"Uruguay","2000-01-01","1999-12-31",343,0,0,0,0,0,0,0,NA,NA,3.82253458731689,NA,NA,1
"Uzbekistan","2000-01-01","1999-12-31",58,0,0,0,0,0,0,0,NA,NA,2.78873704831363,NA,NA,1
"Vanuatu","2000-01-01","1999-12-31",1,0,0,0,0,0,0,0,NA,NA,6.25325119780972,NA,NA,1
"Venezuela","2000-01-01","1999-12-31",137,0,0,0,0,0,0,0,NA,NA,2.80513796669614,NA,NA,1
"Vietnam","2000-01-01","1999-12-31",47,0,0,0,0,0,0,0,NA,NA,0.712190717520789,NA,NA,1
"Wales","2000-01-01","1999-12-31",152,0,0,0,0,0,0,0,NA,NA,3.63910803703303,NA,NA,1
"Yemen","2000-01-01","1999-12-31",2,0,0,0,0,0,0,0,NA,NA,-4.81177275838467,NA,NA,1
"Zambia","2000-01-01","1999-12-31",24,0,0,0,0,0,0,0,NA,NA,2.85626283367556,NA,NA,1
"Zimbabwe","2000-01-01","1999-12-31",26,0,0,0,0,0,0,0,NA,NA,5.25130311167272,NA,NA,1
"Afghanistan","2000-07-01","2000-06-30",3,0,0,0,0,0,0,0,NA,NA,6.45220168834132,NA,NA,1
"Albania","2000-07-01","2000-06-30",183,0,0,0,0,0,0,0,NA,NA,3.01877223101177,NA,NA,1
"Algeria","2000-07-01","2000-06-30",200,0,0,0,0,0,0,0,NA,NA,4.67399041752225,NA,NA,1
"Andorra","2000-07-01","2000-06-30",36,0,0,0,0,0,0,0,NA,NA,2.78196060536923,NA,NA,1
"Angola","2000-07-01","2000-06-30",84,0,0,0,0,0,0,0,NA,NA,3.99465467227274,NA,NA,1
"Antigua and Barbuda","2000-07-01","2000-06-30",9,0,0,0,0,0,0,0,NA,NA,4.54209445585216,NA,NA,1
"Argentina","2000-07-01","2000-06-30",1732,0,0,0,0,0,0,0,NA,NA,3.11088769911462,NA,NA,1
"Armenia","2000-07-01","2000-06-30",88,0,0,0,0,0,0,0,NA,NA,4.51689378383424,NA,NA,1
"Aruba","2000-07-01","2000-06-30",6,0,0,0,0,0,0,0,NA,NA,8.92174309833447,NA,NA,1
"Australia","2000-07-01","2000-06-30",474,0,0,0,0,0,0,0,NA,NA,-0.236777884634823,NA,NA,1
"Austria","2000-07-01","2000-06-30",421,0,0,0,0,0,0,0,NA,NA,2.12590854274633,NA,NA,1
"Azerbaijan","2000-07-01","2000-06-30",62,0,0,0,0,0,0,0,NA,NA,3.22836766686538,NA,NA,1
"Bahrain","2000-07-01","2000-06-30",2,0,0,0,0,0,0,0,NA,NA,4.89390828199863,NA,NA,1
"Bangladesh","2000-07-01","2000-06-30",38,0,0,0,0,0,0,0,NA,NA,-0.272488202024568,NA,NA,1
"Barbados","2000-07-01","2000-06-30",5,0,0,0,0,0,0,0,NA,NA,6.84517453798768,NA,NA,1
"Belarus","2000-07-01","2000-06-30",114,0,0,0,0,0,0,0,NA,NA,5.65450244365191,NA,NA,1
"Belgium","2000-07-01","2000-06-30",1194,0,0,0,0,0,0,0,NA,NA,3.64212346239525,NA,NA,1
"Benin","2000-07-01","2000-06-30",29,0,0,0,0,0,0,0,NA,NA,5.94368524156813,NA,NA,1
"Bermuda","2000-07-01","2000-06-30",2,0,0,0,0,0,0,0,NA,NA,6.91581108829569,NA,NA,1
"Bolivia","2000-07-01","2000-06-30",62,0,0,0,0,0,0,0,NA,NA,0.572519926696254,NA,NA,1
"Bonaire","2000-07-01","2000-06-30",3,0,0,0,0,0,0,0,NA,NA,-0.232717316906229,NA,NA,1
"Bosnia-Herzegovina","2000-07-01","2000-06-30",244,0,0,0,0,0,0,0,NA,NA,3.91040271092111,NA,NA,1
"Botswana","2000-07-01","2000-06-30",1,0,0,0,0,0,0,0,NA,NA,-5.58795345653662,NA,NA,1
"Brazil","2000-07-01","2000-06-30",2697,0,0,0,0,0,0,0,NA,NA,3.88389462066123,NA,NA,1
"Brunei Darussalam","2000-07-01","2000-06-30",1,0,0,0,0,0,0,0,NA,NA,2.14647501711157,NA,NA,1
"Bulgaria","2000-07-01","2000-06-30",100,0,0,0,0,0,0,0,NA,NA,6.46387405886379,NA,NA,1
"Burkina Faso","2000-07-01","2000-06-30",70,0,0,0,0,0,0,0,NA,NA,2.92922655715264,NA,NA,1
"Burundi","2000-07-01","2000-06-30",19,0,0,0,0,0,0,0,NA,NA,4.36226088836053,NA,NA,1
"Cambodia","2000-07-01","2000-06-30",24,0,0,0,0,0,0,0,NA,NA,-0.598904859685147,NA,NA,1
"Cameroon","2000-07-01","2000-06-30",246,0,0,0,0,0,0,0,NA,NA,5.1320456531054,NA,NA,1
"Canada","2000-07-01","2000-06-30",133,0,0,0,0,0,0,0,NA,NA,1.34766073294118,NA,NA,1
"Cape Verde","2000-07-01","2000-06-30",114,0,0,0,0,0,0,0,NA,NA,5.78392593393134,NA,NA,1
"Central African Republic","2000-07-01","2000-06-30",24,0,0,0,0,0,0,0,NA,NA,5.80447182295232,NA,NA,1
"Chad","2000-07-01","2000-06-30",5,0,0,0,0,0,0,0,NA,NA,6.2839151266256,NA,NA,1
"Chile","2000-07-01","2000-06-30",144,0,0,0,0,0,0,0,NA,NA,5.19811392501331,NA,NA,1
"China","2000-07-01","2000-06-30",58,0,0,0,0,0,0,0,NA,NA,2.9978049989379,NA,NA,1
