"source_name","canonical_name","fifa_code","alt_names"
"Haiti","Haiti","HAI",""
"Bulgaria","Bulgaria","BUL",""
"Jamaica","Jamaica","JAM",""
"Kenya","Kenya","KEN",""
"Bolivia","Bolivia","BOL",""
"Peru","Peru","PER",""
"Honduras","Honduras","HON",""
"Uganda","Uganda","UGA",""
"Belarus","Belarus","BLR",""
"El Salvador","El Salvador","SLV",""
"Barbados","Barbados","BRB",""
"Trinidad and Tobago","Trinidad and Tobago","TRI",""
"Cuba","Cuba","CUB",""
"Curaçao","Curaçao",NA,"Curacao"
"Dominica","Dominica","DMA",""
"Silesia","Silesia",NA,""
"Guadeloupe","Guadeloupe",NA,""
"Israel","Israel","ISR",""
"French Guiana","French Guiana",NA,""
"Panama","Panama","PAN",""
"Colombia","Colombia","COL",""
"Venezuela","Venezuela","VEN",""
"Ecuador","Ecuador","ECU",""
"Saint Kitts and Nevis","Saint Kitts and Nevis","SKN",""
"Slovakia","Slovakia","SVK",""
"Manchukuo","Manchukuo",NA,""
"Croatia","Croatia","CRO",""
"Nicaragua","Nicaragua","NCA",""
"Afghanistan","Afghanistan","AFG",""
"India","India","IND",""
"Martinique","Martinique",NA,""
"Zimbabwe","Zimbabwe","ZIM",""
"Iceland","Iceland","ISL",""
"Albania","Albania","ALB",""
"Madagascar","Madagascar","MAD",""
"Zambia","Zambia","ZAM",""
"Mauritius","Mauritius","MUR",""
"Tanzania","Tanzania","TAN",""
"Iran","Iran","IRN",""
"Djibouti","Djibouti","DJI",""
"DR Congo","DR Congo",NA,"Congo DR|Democratic Republic of Congo|Congo, Democratic Republic"
"Vietnam","Vietnam","VIE",""
"Macau","Macau",NA,""
"Ethiopia","Ethiopia","ETH",""
"Puerto Rico","Puerto Rico","PUR",""
"Réunion","Réunion",NA,""
"Sierra Leone","Sierra Leone","SLE",""
"Zanzibar","Zanzibar",NA,""
"South Korea","Korea Republic","KOR",""
"Ghana","Ghana","GHA",""
"South Africa","South Africa","RSA",""
"New Caledonia","New Caledonia","NCL",""
"Fiji","Fiji","FIJ",""
"Nigeria","Nigeria","NGA",""
"Myanmar","Myanmar","MYA",""
"Sri Lanka","Sri Lanka","SRI",""
"Tahiti","Tahiti","TAH",""
"Gambia","Gambia","GAM",""
"Hong Kong","Hong Kong","HKG",""
"Singapore","Singapore","SIN",""
"Malaysia","Malaysia","MAS",""
"Indonesia","Indonesia","IDN",""
"Guinea-Bissau","Guinea-Bissau","GNB",""
"German DR","German DR",NA,""
"Vanuatu","Vanuatu","VAN",""
"Kernow","Kernow",NA,""
"Saarland","Saarland",NA,""
"Taiwan","Taiwan",NA,""
"Cambodia","Cambodia","CAM",""
"Lebanon","Lebanon","LBN",""
"Pakistan","Pakistan","PAK",""
"Vietnam Republic","Vietnam Republic",NA,""
"North Korea","Korea DPR","PRK",""
"Togo","Togo","TOG",""
"Sudan","Sudan","SUD",""
"Malta","Malta","MLT",""
"Syria","Syria","SYR",""
"Tunisia","Tunisia","TUN",""
"Malawi","Malawi","MWI",""
"Morocco","Morocco","MAR",""
"Benin","Benin","BEN",""
"Thailand","Thailand","THA",""
"Ivory Coast","Ivory Coast","CIV",""
"Burkina Faso","Burkina Faso","BFA",""
"Congo","Congo","CGO",""
"Cameroon","Cameroon","CMR",""
"Mali","Mali","MLI",""
"North Vietnam","North Vietnam",NA,""
"Mongolia","Mongolia","MGL",""
"Cyprus","Cyprus","CYP",""
"Iraq","Iraq","IRQ",""
"Saint Lucia","Saint Lucia","LCA",""
"Grenada","Grenada","GRN",""
"Senegal","Senegal","SEN",""
"Central African Republic","Central African Republic","CAF",""
"Chad","Chad","CHA",""
"Libya","Libya","LBY",""
"Gabon","Gabon","GAB",""
"Guinea","Guinea","GUI",""
"Algeria","Algeria","ALG",""
"Kuwait","Kuwait","KUW",""
"Jordan","Jordan","JOR",""
"Liberia","Liberia","LBR",""
"Solomon Islands","Solomon Islands","SOL",""
"Laos","Laos","LAO",""
"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","VIN",""
"Bermuda","Bermuda",NA,""
"Niger","Niger","NIG",""
"Montenegro","Montenegro","MNE",""
"Palestine","Palestine","PLE",""
"Bahrain","Bahrain","BHR",""
"Papua New Guinea","Papua New Guinea","PNG",""
"Mauritania","Mauritania","MTN",""
"Saudi Arabia","Saudi Arabia","KSA",""
"Eswatini","Eswatini","SWZ",""
"Western Australia","Western Australia",NA,""
"Somalia","Somalia","SOM",""
"Lesotho","Lesotho","LES",""
"Cook Islands","Cook Islands",NA,""
"Qatar","Qatar","QAT",""
"Antigua and Barbuda","Antigua and Barbuda","ATG",""
"Faroe Islands","Faroe Islands","FRO",""
"Bangladesh","Bangladesh","BAN",""
"Yemen","Yemen","YEM",""
"Oman","Oman","OMA",""
"Yemen DPR","Yemen DPR",NA,""
"Burundi","Burundi","BDI",""
"Mozambique","Mozambique","MOZ",""
"Guam","Guam","GUM",""
"Angola","Angola","ANG",""
"Dominican Republic","Dominican Republic","DOM",""
"Seychelles","Seychelles","SEY",""
"Rwanda","Rwanda","RWA",""
"São Tomé and Príncipe","São Tomé and Príncipe",NA,""
"Botswana","Botswana","BOT",""
"Northern Cyprus","Northern Cyprus",NA,""
"Cape Verde","Cape Verde","CPV",""
"Kyrgyzstan","Kyrgyzstan","KGZ",""
"Georgia","Georgia","GEO",""
"Azerbaijan","Azerbaijan","AZE",""
"Comoros","Comoros","COM",""
"Kiribati","Kiribati",NA,""
"Tonga","Tonga","TGA",""
"Wallis Islands and Futuna","Wallis Islands and Futuna",NA,""
"United Arab Emirates","United Arab Emirates","UAE",""
"Brunei","Brunei",NA,""
"Equatorial Guinea","Equatorial Guinea","EQG",""
"Liechtenstein","Liechtenstein","LIE",""
"Nepal","Nepal","NEP",""
"Greenland","Greenland",NA,""
"Niue","Niue",NA,""
"Samoa","Samoa",NA,""
"American Samoa","American Samoa",NA,""
"Belize","Belize","BLZ",""
"Maldives","Maldives","MDV",""
"Anguilla","Anguilla",NA,""
"Cayman Islands","Cayman Islands",NA,""
"Palau","Palau",NA,""
"Sint Maarten","Sint Maarten",NA,""
"Namibia","Namibia","NAM",""
"Åland Islands","Åland Islands",NA,""
"Ynys Môn","Ynys Môn",NA,""
"Saint Martin","Saint Martin",NA,""
"San Marino","San Marino","SMR",""
"Slovenia","Slovenia","SVN",""
"Shetland","Shetland",NA,""
"Isle of Wight","Isle of Wight",NA,""
"Moldova","Moldova","MDA",""
"Ukraine","Ukraine","UKR",""
"Kazakhstan","Kazakhstan","KAZ",""
"Tajikistan","Tajikistan","TJK",""
"Uzbekistan","Uzbekistan","UZB",""
"Turkmenistan","Turkmenistan","TKM",""
"Armenia","Armenia","ARM",""
"Gibraltar","Gibraltar",NA,""
"Isle of Man","Isle of Man",NA,""
"North Macedonia","Macedonia","MKD",""
"Czech Republic","Czech Republic","CZE",""
"Montserrat","Montserrat",NA,""
"Serbia","Serbia","SRB",""
"Canary Islands","Canary Islands",NA,""
"Bosnia and Herzegovina","Bosnia and Herzegovina","BIH",""
"Andorra","Andorra","AND",""
"British Virgin Islands","British Virgin Islands",NA,""
"Frøya","Frøya",NA,""
"Hitra","Hitra",NA,""
"United States Virgin Islands","United States Virgin Islands",NA,""
"Corsica","Corsica",NA,""
"Eritrea","Eritrea","ERI",""
"Bahamas","Bahamas",NA,""
"Gotland","Gotland",NA,""
"Saare County","Saare County",NA,""
"Rhodes","Rhodes",NA,""
"Micronesia","Micronesia",NA,""
"Bhutan","Bhutan","BHU",""
"Western Sahara","Western Sahara",NA,""
"Orkney","Orkney",NA,""
"Monaco","Monaco",NA,""
"Tuvalu","Tuvalu",NA,""
"Sark","Sark",NA,""
"Mayotte","Mayotte",NA,""
"Turks and Caicos Islands","Turks and Caicos Islands",NA,""
"Timor-Leste","Timor-Leste",NA,""
"Occitania","Occitania",NA,""
"Chechnya","Chechnya",NA,""
"Western Isles","Western Isles",NA,""
"Falkland Islands","Falkland Islands",NA,""
"Kosovo","Kosovo","KVX",""
"Republic of St. Pauli","Republic of St. Pauli",NA,""
"Găgăuzia","Găgăuzia",NA,""
"Tibet","Tibet",NA,""
"Sápmi","Sápmi",NA,""
"Northern Mariana Islands","Northern Mariana Islands",NA,""
"Romani people","Romani people",NA,""
"Menorca","Menorca",NA,""
"Provence","Provence",NA,""
"Arameans Suryoye","Arameans Suryoye",NA,""
"Padania","Padania",NA,""
"Iraqi Kurdistan","Iraqi Kurdistan",NA,""
"Gozo","Gozo",NA,""
"Bonaire","Bonaire",NA,""
"Chagos Islands","Chagos Islands",NA,""
"Sealand","Sealand",NA,""
"Kurdistan","Kurdistan",NA,""
"Raetia","Raetia",NA,""
"Darfur","Darfur",NA,""
"Tamil Eelam","Tamil Eelam",NA,""
"South Sudan","South Sudan","SSD",""
"Saint Barthélemy","Saint Barthélemy",NA,""
"Abkhazia","Abkhazia",NA,""
"Saint Pierre and Miquelon","Saint Pierre and Miquelon",NA,""
"Artsakh","Artsakh",NA,""
"Madrid","Madrid",NA,""
"Quebec","Quebec",NA,""
"Saugeais","Saugeais",NA,""
"Ellan Vannin","Ellan Vannin",NA,""
"Vatican City","Vatican City",NA,""
"Somaliland","Somaliland",NA,""
"Franconia","Franconia",NA,""
"South Ossetia","South Ossetia",NA,""
"County of Nice","County of Nice",NA,""
"Seborga","Seborga",NA,""
"Székely Land","Székely Land",NA,""
"Panjab","Panjab",NA,""
"Felvidék","Felvidék",NA,""
"Luhansk PR","Luhansk PR",NA,""
"Donetsk PR","Donetsk PR",NA,""
"United Koreans in Japan","United Koreans in Japan",NA,""
"Western Armenia","Western Armenia",NA,""
"Délvidék","Délvidék",NA,""
"Barawa","Barawa",NA,""
"Ryūkyū","Ryūkyū",NA,""
"Kárpátalja","Kárpátalja",NA,""
"Yorkshire","Yorkshire",NA,""
"Matabeleland","Matabeleland",NA,""
"Cascadia","Cascadia",NA,""
"Kabylia","Kabylia",NA,""
"Parishes of Jersey","Parishes of Jersey",NA,""
"Chameria","Chameria",NA,""
"Saint Helena","Saint Helena",NA,""
"West Papua","West Papua",NA,""
"Yoruba Nation","Yoruba Nation",NA,""
"Biafra","Biafra",NA,""
"Mapuche","Mapuche",NA,""
"Aymara","Aymara",NA,""
"Elba Island","Elba Island",NA,""
"Ticino","Ticino",NA,""
"Hmong","Hmong",NA,""
"Marshall Islands","Marshall Islands",NA,""
"Asturias","Asturias",NA,""
"South Yemen","South Yemen",NA,""
"Ambazonia","Ambazonia",NA,""
"Crimea","Crimea",NA,""
"Two Sicilies","Two Sicilies",NA,""
"Cilento","Cilento",NA,""
"Surrey","Surrey",NA,""
"East Turkestan","East Turkestan",NA,""
"Maule Sur","Maule Sur",NA,""
